"","company","rating","salary","city","state","description","companysize","industy"
"72","Stripe",4.1,"$141k-$196k","San Francisco","CA","Generate insights and impact from data.We're looking for data scientists to join the Analytics team who are excited about applying their analytical skills to understand our users and influence decision making. If you are naturally data curious, excited about deriving insights from data, and motivated by having impact on the business, we want to hear from you.You will:Work closely with product and business teams to identify important questions and answer them with data.Apply statistical and econometric models on large datasets to: i) measure results and outcomes, ii) identify causal impact and attribution, iii) predict future performance of users or products.Design, analyze, and interpret the results of experiments.Drive the collection of new data and the refinement of existing data sources.Create analyses that tell a story focused on insights, not just data.We're looking for someone with:3+ years experience working with and analyzing large data sets to solve problems.A PhD or MS in a quantitative field (e.g., Economics, Statistics, Eng, Natural Sciences, CS).Expert knowledge of a scientific computing language (such as R or Python) and SQL.Strong knowledge of statistics and experimental design.Ability to communicate results clearly and a focus on driving impact.Nice to haves:Prior experience with data-distributed tools (Scalding, Hadoop, Pig, etc).You should include these in your application:Resume and LinkedIn profile.Description of the most interesting data analysis youve done, key findings, and its impact.Link to or attachment of code youve written related to data analysis.","501-1000","Internet"
"73","Amazon",3.6,"$123k-$174k","Seattle","WA"," Job DescriptionAt Amazon, we're working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. Amazon is one of the most recognizable brand names in the world and we distribute millions of products each year to our loyal customers. Amazon is offering a unique opportunity to be a part of a new initiative that will leverage centralized measurement systems and analysis of big data to enable strategic decision making at the top level of the organization to help shape the future of the Worldwide Fulfillment Network. The Strategic Measures, Analytics, and Reporting Team combines the skills of top tier Business Analysts, Data Scientists, and Program Managers to design centralized measurements, conduct statistical analysis, and provide recommendations for incremental, emerging, and disruptive improvements initiatives across Worldwide Operations. As a Data Scientist, you will serve as a subject matter expert for defining measurement systems and mathematical models, as well as providing predictive and prescriptive analysis that will define strategy for the next generation of software, hardware, and automation initiatives across Worldwide Operations. Your role will be highly visible and require interactions with leaders across Operations, Engineering, Amazon Robotics, Advanced Technology, and Amazon Fulfillment Technology. Some of the Problem that we need you help solving: · How do we standardize our measurement systems across Worldwide Operations? · Where should be investing strategic resources? · What are the short and long term impacts of our strategic roadmap? · How do align data driven incremental performance objectives with our project lifecycles? · How do we centralize our measurement systems and standardize our methods for high profile projects? You will have an opportunity to: · Develop unified descriptive models for cost, quality, and safety across Worldwide Operations. · Design prescriptive performance models and algorithms for benchmarking objectives. · Work directly with next generation project teams to establish measurement systems and design of experiments. · Learn directly from Senior Business Analysts and Data Scientists within your team.  Basic Qualifications 5+ years of relevant experience.Bachelor's Degree required, preferably in Statistics, Math, Finance, Computer Science or a related field.Experience in operational or manufacturing data sets and analytics.Experience in writing professional publications or executive level reporting.Experience in statistical analysis tools (Minitab, SAS, SPSS, R, etc.)Experience in structured analytical methodology (Statistical Hypothesis Testing, DMAIC, Six Sigma, etc.)Experience in Microsoft Office products (Excel, PowerPoint, Word, and MS Project).Ability to travel both domestically and internationally (25%)Ability to communicate effectively with multi-disciplinary teams.Ability to coach and mentor entry level Data Scientists. Preferred Qualifications Master’s Degree or PHD in Statistics, Math, Finance, Computer Science or a related field. Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.","10000--1",NA
"74","Clarity Insights",3.6,"$131k-$183k",NA,NA,"Do YOU have a passion for working with Data? Do you love working in machine learning, real-time analytics, or Big Data? Interested in learning and utilizing different technologies without limitation? We are looking for a Data Expert that will help our clients evaluate and implement big data and advanced analytics solutions in the Cloud and on-premise. At Clarity Insights, we specialize in providing Data & Analytics expertise that result in real and measurable business outcomes. We are passionate about data, problem solving and driving value to make a difference with our clients.Clarity Insights is the largest independent professional services firm focused exclusively on data analytics solutions. Our Healthcare Practice is expanding and looking to develop in multiple US Regions. Claritys Delivery Practices have one vision: to drive better business outcomes through data and analytics. We provide data analytics advisory consulting services. We believe that nothing sells like great delivery, and are committed to our people and client delivery excellence. With continuing, aggressive growth plans for the next five years, Clarity is seeking outstanding Healthcare industry data analytics leaders to successfully qualify, propose, close and lead client solution delivery.At Clarity Insights, the Senior Data Scientist is responsible for understanding, qualifying and estimating new business opportunities from a solution perspective, supporting proposal and SOW generation, making presentations, and leading and contributing directly to client solution delivery. Typically, he/she performs the following: creates statistical models, hands on with technology such as SAS, SPSS, R, Python or similar tools. The Data Scientist is also a key leader and mentor for Clarity Insights' technical consultants at all levels, assembling and managing high performance client and internal teams, and contributing to the development of individual, Practice, and Clarity Insights' technical capabilities.As a key Clarity Insights, Data Scientist and technical data analytics leader, the Data Scientist establishes effective, collaborative working relationships with Clarity executives, Practice Leaders, Engagement Managers, and Senior Business Analysts. This individual will also collaborate with our Service Leaders and consultants across our core delivery competencies including Data Science, Data Engineering, Data Visualization and Data Strategy.A career at Clarity Insights is differentour people and culture (we are a consultants consulting company), our relentless client service commitment, and our specialization in data analyticsset us apart. We have the data analytics expertise and scale to compete with the largest systems integration firms, and yet still provide the nimble, focused, bespoke experience of a boutique.Functional Expertise Fully understands the requirements of our client and working with big data (e.g. parallel/MapReduce algorithms, etc.)Responsible for creating advanced analytical models that will lead to actionable insights that allow our client to make more informed business decisionsExperience with hypothesis or idea generation and prioritization, exploratory analysis using iterative modeling and tuning, and production integration and delivery of results to ensure adoptionPlaying a senior role in professional work engagements and demonstrating proficiency in predictive analytics and data mining either through references or a portfolio of workStrong communication skills to non-analytical and analytical client team members. Ability to create and explain executive summaries of work to C-level executives Business Development Build fully satisfied, referenceable client relationships, and actively contribute to the positive reputation of Clarity among prospects and in the marketAssemble and lead collaborative, high-performing technical teams in business development and delivery situationsCreate high quality technical content for introductory presentations, proposals, Statements of Work, deliverables, and other client and market-facing contentAssist with business development activities that produce client/project wins and revenue growthSupport the profitability (direct revenue and expenses) of client engagements in accordance with client commitments and internal policies and rulesAppropriately leverage and protect Clarity intellectual property in business development and deliveryRepresent Clarity at conferences and symposiums, presenting our services Personal Utilization Play a valuable technical leadership role(s) in client solution delivery, including leading the client teams technical delivery performance, identifying and responding to technical delivery extension/expansion opportunities, and actively managing the client relationship and expectationsAchieve company utilization targets Clarity Contributions Mentor technical employees and contribute to their individual development, and lead performance management processes for technical delivery teamsContinuously learn about clients, target market segments, and data analytics business and technology trends, and effectively communicate/share information with colleaguesParticipate regularly in effective technical recruiting, candidate interviewing, and employee on-boarding activitiesBuild, cultivate, and curate Clarity intellectual property that contributes to business development and client delivery performanceAssist others in achieving business development and client delivery goals by providing leads, content, peer review, qualified client references, and other sharing that promotes successPublishing content and/or creating and delivering presentations that effectively promote the Clarity brandActively participate in and support organizational development and process improvement initiativesConstructively share ideas, observations, and evaluations that could contribute to Claritys client, people, and business goals Basic Qualifications Bachelors Degree & 7+ years work experienceMinimum 7 years of recent, progressive experience and demonstrable technical expertise in enterprise-class data analytics solutions and servicesMinimum 4 years of recent, progressive experience in technical consulting leadership rolesMinimum 2 years of recent leadership experience in enterprise-class data analytics architecture, including enterprise and solution architecture assessment/definition, and significant depth in two or more data analytics solution architecture components (i.e., data management, data integration, information delivery, and/or advanced analytics)Technical expertise/experience in at least one of the following areas: Architecture and applications on or incorporating innovative data analytic technologies such as Hadoop, Spark, R, and other open source and proprietary data analytics platforms and toolsArchitecture and applications on or incorporating cloud infrastructure-, platform-, and/or software as a service (particularly data analytic solutions on Amazon AWS, Microsoft Azure, or other cloud platforms and service providers)Experience in core business system (e.g., new deposit/lending systems, or new policy admin/claims systems) transformation programs, with a focus on related changes in data analytics architecture, engineering, and business capabilitiesA strong understanding of market-leading data analytic technology platforms, roles, and trendsExceptional written and verbal communication skills, including experience estimating technical solution builds, and contributing to custom proposals, responses to Requests for Proposal, Statements of Work, advisory deliverables, and executive-level presentationsRecent work references related to industry and data analytics architecture, technology, and design/engineering leadership expertiseAbility to travel and work away from home 80% (on average during the work week) at client and/or Clarity office locations across the East, Central and/or West regions of the U.S.Evidence of eligibility to work in the U.S. for any employer without work sponsorshipQualifications in one or more the following areas are a plus:Certifications in and/or deep expertise with market-leading, enterprise-class data analytics platformsExpertise/experience with Agile project delivery methodology for software developmentTravel to the client on a weekly basis is required. Normal weekly schedule is M-TH travel to client location (U.S. based)Why Clarity Insights, Why Consulting and Why Now?We dont try to be everything to everybody all the time. We specialize in Data & Analytics and will remain a platform and tool agnostic company so you can grow technically throughout your career. It sounds ridiculous but you actually need to be 100% technical and 100% business with strategy because we dont hire non-communicative robots who have a one size fits all approach. We often could speak to a CFO or Head of Underwriting about a business or finance problem, and based on the need for real-time and affordable scalability, we can outline in terms they can understand why they should think about a cloud solution for big data and analytics. If we step across to the DevOps lab, we can easily pick up on a conversation about Apache committers, OSF, full stack development, microservices, containers and much more. Were not trying to boil the ocean. We want to grow from 400 people to 1700 people in 4 years to take the market an accessible set of consulting skills. We have a lot of fun together. Most people join here and stay here for the people. That said, we are popular so we do rack up some travel miles. I have a million things to share about why that may change and why that must stay the same for now, but heres a suggestion if you LOVE Cloud Computing for Big Data and/or Advanced Analytics, Machine Learning, etc we should talk.Clarity Insights is an Equal Employment Opportunity Employer. We believe in treating each employee and applicant for employment fairly and with dignity.#LI-SH1GLDR","201-500","IT Services"
"75","HUNTER Technical Resources",4.9,NA,"Plano","TX"," Data Scientist  Contract role in Plano, TX  Collecting and analyzing data to spot trends and help a company face the challenges of an evolving customer base and changing marketplace.  Identifies unique opportunities to collect new data.  Designs new processes and builds large, complex data sets.  Strategizes new uses for data and its interaction with data design.  Locates new data sources, analyzes statistics and implements quality procedures.  Performs data studies of new and diverse data sources.  Finds new uses for existing data sources.  Conducts statistical modeling and experiment design.  Discovers “ stories” told by the data and presents them to other scientists and business managers.  Tests and validates predictive models.  Builds web prototypes and performs data visualization.  Conducts scalable data research on and off the cloud.  Implements automated processes for efficiently producing scale models.  Designs, modifies and builds new data processes.  Generates algorithms and creates computer models.  Collaborates with database engineers and other scientists.  Implements new or enhanced software designed to access and handle data more efficiently.  Trains the data management team on new or updated procedures. TOP 5 SKILLS: Good Understanding of basic concepts of Statistics.  Working Experience of Common Data Mining and Machine Learning Algorithms and knowledge of when to use different Techniques.  Ability to Clean and Analyze Large data sets using SQL, Hive/PIG or other Big Data Tools.  In depth knowledge of R and/or Python  Ability to Implement Machine Learning Models, Interpret the Results and Communicate them effectively to Business.  Analytical Problem Solving Skills.","51-200","Staffing & Outsourcing"
"76","GE Digital",3.2,"$121k-$168k","San Ramon","CA","About Us: GE is the world's Digital Industrial Company, transforming industry with software-defined machines and solutions that are connected, responsive and predictive. Through our people, leadership development, services, technology and scale, GE delivers better outcomes for global customers by speaking the language of industry. At GE Digital, we are creating technology and solutions to enable social, mobile, analytical and cloud capabilitiesfor the Industrial Internet. The Industrial Internet is an open, global network that connects people, data andmachines. Its about making infrastructure more intelligent and advancing the industries critical to the world welive in. At GE, we believe its about the future of industryenergy, healthcare, transportation, manufacturing. Itsabout making the world work better. GE is transforming itself to become the world's premier digital industrialcompany, executing critical outcomes for our customers. Explore how you can drive greater asset reliability, loweroperating costs, reduce risk and accelerate operational performance with our Predix platform and softwaresolutions. Join our online communities to find out more! LinkedIn Company pageTalent CommunityGE offers a great work environment, professional development, challenging careers, and competitive compensation. GE is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law. Role Summary: The Data Scientist will work in teams addressing statistical, machine learning and data understanding problems in a commercial technology and consultancy development environment. In this role, you will contribute to the development and deployment of modern machine learning, operational research, semantic analysis, and statistical methods for finding structure in large data sets.Essential Responsibilities: In this role you will: Develop analytics within well-defined projects to address customer needs and opportunities. Work alongside software developers and software engineers to translate algorithms into commercially viable products and services. Work in technical teams in development, deployment, and application of applied analytics, predictive analytics, and prescriptive analytics. Perform exploratory and targeted data analyses using descriptive statistics and other methods. Work with data engineers on data quality assessment, data cleansing and data analytics. Generate reports, annotated code, and other projects artifacts to document, archive, and communicate The work and outcomes. Share and discuss findings with team members.Qualifications/Requirements: Basic Qualifications: Bachelor's Degree in Computer Science or in STEM Majors (Science, Technology, Engineering and Math) and a minimum of 2 years of professional experience in data science/analytics OR Masters Degree in Computer Science or in STEM Majors (Science, Technology, Engineering and Math)Eligibility Requirements: Legal authorization to work in the U.S. is required. GE may agree to sponsor an individual for an employment visa now or in the future if there is a shortage of individuals with particular skills. Pursuant to the Los Angeles/San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records. Must be willing to travel Must be willing to work out of an office located in San Francisco, CA or San Ramon, CADesired Characteristics: Demonstrated skill in the use of one or more analytic software tools or languages (e.g., SAS, SPSS, R, Python) Demonstrated skill at data cleansing, data quality assessment, and using analytics for data assessment Demonstrated skill in the use of applied analytics, descriptive statistics, and predictive analytics on industrial datasets Demonstrated awareness of feature extraction and real-time analytics methodsDemonstrated awareness of analytic prototyping, analytic scale up, analytic scaling, and solutions integrationDomainDemonstrated awareness of industry and technology trends in data science Demonstrated awareness of customer and stakeholder management and business metrics Demonstrated awareness of how to function in a team setting Demonstrated awareness of critical thinking and problem solving methods Demonstrated awareness of presentation skills Demonstrated awareness of how to leverage curiosity and creativity to drive business impact#DTRLocations:  United States; California; San Francisco, San RamonGE offers a great work environment, professional development, challenging careers, and competitive compensation. GE is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law. GE will only employ those who are legally authorized to work in the United States for this opening. Any offer of employment is conditional upon the successful completion of a background investigation and drug screen.","1001-5000","Enterprise Software & Network Solutions"
"77","Morgan Lewis",3.4,"$89k-$134k","Philadelphia","PA","Auto req ID 1230BR Posting Title Data Scientist Job Location Firm - Philadelphia Employment Type Full Time Job Description Morgan, Lewis & Bockius LLP, one of the world’s leading global law firms with almost 4000 lawyers and staff in 30 offices is seeking a Data Scientist reporting to the Senior Director of Information Security & Compliance, the Data Scientist works with the Data Scientist Team Lead to assist with data modeling and analysis through the use of statistical, algorithmic, mining and visualization techniques. The Data Scientist assists in the protection of information assets from unauthorized or inappropriate access, use or disclosure, as well as business disruptions through network behavior and user behavior analytics. In addition, the Data Scientist contributes to investigations by performing technical analysis of log data. PRIMARY FUNCTIONS AND RESPONSIBILITIES Responsibility  Information Governance Importing, cleaning, transforming, validating and/or modeling data with the purpose of understanding or making conclusions from the data for decision making purposesInterpreting data, analyzing results using statistical techniques and providing ongoing reportsProducing analysis on datum using SQL, Excel, Access, Hadoop, Python, Splunk, Apache Spark and other big data analytical toolsCreating graphical representation of data and reportsGenerating questions and identify inadequacies based on supplied data setsIdentifying, analyzing, and interpreting trends or patterns in complex data sets Information Security Mining data to draw conclusions on a regular basisProcessing, cleansing, and verifying the integrity of data used for analysis.Evaluating and remediating security event monitoringAbiding by and enhancing security practices within Technology. Contributes to the compliance programs such as SOC 2, HITRUST, ISO 27001, HIPAA etc.Monitoring processes to ensure compliance with security policies and client contractual requirementsAnalyzing data and assessing the operation and administration effectiveness of monitoring and security toolsOther duties as assigned.SUPERVISORY RESPONSIBILITIESThis job has no supervisory responsibilities.EDUCATION, EXPERIENCE AND EXPERTISEThis job requires:a Bachelor’s Degree (B.A) from a four-year college or university (preferably in Computer Science, Information Systems, Computer Engineering, or related field), and, minimum 2 years of IT data analysis and / or information security-related experience, or, equivalent combination of education and experience. OTHER QUALIFICATIONS AND REQUIREMENTS To perform the job successfully, an individual must demonstrate the following knowledge skills and abilities: Technical skillsWritten communication skillsVerbal communications skillsCustomer services skillsInterpersonal skillsSelf-starterProject management skillsTeamworkPlanning/organizational skillsProblem solving skillsAbility to adapt to change and balance competing demandsAbility to collect data, establish facts, and draw conclusionsAbility to read and interpret general business documents, instructions and manuals, write routine business correspondence, and speak effectively with employees, clients, and vendors.Advanced arithmetic skills (compute rate, ratio, percent; able to draw and interpret graphs and charts)COMPUTER SKILLS To perform this job successfully, an individual must be proficient in the following software: Microsoft Excel, Word, PowerPoint, Project & Visio applicationsMicrosoft SQL Server, SQL, Excel, Access (required) Hadoop Python, Splunk, Apache Spark (preferred but not required)A conceptual understanding of the operation of Microsoft operating system, Active Directory, Cisco technologies, computer operations and network design topologyExperience with SharePoint is a plusExperience with Splunk is preferredCERTIFICATES, LICENSES, REGISTRATIONS Required: none PHYSICAL DEMANDS:While performing the duties of this job, the employee is regularly required to sit and may occasionally be required to move about.The employee is also regularly required to use a computer, involving substantial movements of the wrists, hands and fingers. The employee is also required to regularly communicate with others.Specific vision abilities required by this job include: close vision and ability to adjust focus.WORK ENVIRONMENTThe noise level in the work environment is usually moderate.This job requires occasional interoffice travel.This job may require some late evening and weekend hours. Qualified candidates must apply online by visiting our website at www.morganlewis.com and selecting “Careers.”  Morgan Lewis is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.","1001-5000","Legal"
"78","Resource Systems Group, Inc",3.6,"$77k-$120k","San Diego","CA"," RSG is seeking an experienced Data Scientist to be based in either our White River Junction, or Burlington, Vermont offices. AS A DATA SCIENTIST You support analytics across all RSG consulting groups to include: market research, data analysis, and quantitative model development for public and private sector clients in transportation and consumer goods markets. You solve challenging technical problems, develop tools for process and analysis efficiency, advance analytical methods and share knowledge under the direction of a senior data scientist and in partnership with consulting groups. Your work contributes to the technical and analytical aspects of research and predictive modeling projects, including the development and implementation of experimental designs, the estimation of statistical models and the development of model application tools and software.  You are a self-motivated team player with practical skills in data manipulation, analysis design, and generating insights. You are resourceful, proactive, innovative, and a clear and creative thinker, interested in using data and analytics to support decision making across a variety of domains. REQUIRED QUALIFICATIONSMasters degree or equivalent experience in a quantitative field such as data science, mathematics, statistics, predictive analytics or a similarly relevant field of study3+ years of experience and demonstrated skill in data science, or similar field using advanced analytic methods and toolsSolid understanding of and proficiency with Python, R and/or SQLEfficient manager of workflows and processes with the proven ability to manage multiple competing projects, priorities, and deadlinesProficient in statistical analysis, data management and presentationPREFERRED QUALIFICATIONSTransportation modeling experienceMarket Research experienceChoice Modeling experienceData Visualization experience Periodic travel is required. RSG is not currently accepting H-1B applicants for this position. EEO/AA Employer/Vets/Disabled. TO APPLYPlease visit our employment page:","51-200","Consulting"
"79","Progrexion Marketing",3.4,"$71k-$103k","Salt Lake City","UT"," Overview  Based in Utah, Idaho, and Arizona, Progrexion leads the credit repair industry with groundbreaking technologies and services that help consumers access and understand information contained in their credit reports, verify whether that information is fair, accurate and substantiated, and correct inaccuracies with individual creditors, other data furnishers and the national credit bureaus. Progrexion technology and services are used by Lexington Law, an independently-operated law firm, and CreditRepair.com, its wholly-owned subsidiary. Responsibilities The Advanced Data Analytics team at Progrexion is working on questions that are central to our future growth. To answer these questions we are heavily investing both in infrastructure and in talent. We are searching for a Sr. Data Scientist who wants to work with the latest technologies to help answer those questions. QualificationsMS or Ph.D in Computer Science or Mathematics3+ years Data Science experienceExcellent problem solving and analytical skillsGreat at Calculus and Linear AlgebraA good understanding of Frequentist StatisticsA good understanding of the various machine learning approaches and algorithms for each of the following areas:ClusteringRecommendationClassificationProficiency in either R or PythonStrong SQL abilities. ,  Data ScientistID2017-2748 Pos. Category  Information Technology  Location : City  Salt Lake City  Location : State/Province UT Created Date 9/13/2017 Type  Regular Full-Time","1001-5000","Advertising & Marketing"
"80","Koch Industries",3.6,"$90k-$135k","Arlington","TX","i360, the leading data and technology provider for the pro-free market public policy and advocacy community, supports organizations that promote free enterprise and smaller government. i360 is a dynamic workplace sitting on the leading edge of public policy, technology, and business, and is seeking team members who are as excited about their cause as they are about building the next generation of political technology. The Data Scientist will discover actionable insights using a large repository of individual-level data. The ideal candidate is someone who has significant analytical experience with very large datasets and is looking to leverage that knowledge to make a difference in economic freedom. i360 is a dynamic workplace sitting on the leading edge of politics, technology, and business, and they are seeking team members who are as excited about their cause as they are about building the next generation of political technology.To be considered, candidates must be creative, passionate about process improvement, and strong technical ability in the following areas:Theoretical knowledge and extensive experience with advanced analytical techniques, including data mining, machine learning, and predictive modeling  Real-world experience manipulating large data sets using Python, SQL, R or similar programsReal-world experience creating actionable data visualizations for consumption by non-technical audiencesStrong math and statistics background A Day In The Life Typically Includes:Build and shape tools and products by applying advanced analytical techniques to large datasets. Develop and apply models that predict individuals’ propensity to engage in a behavior or hold a particular viewpoint. Design and implement new visualization techniques to help customers extract more meaning from their data. Work with technical staff to develop and refine data storage frameworks that are optimized for analytical use. Help design and build processes for evaluating and incorporating a variety of new incoming datasets. Present analytical results, both orally and in writing, to technical and non-technical audiences. What You Will Need:Basic Qualifications:Completed MS or PhD by June 2017Experience with SPSS, SAS, R, Stata, or equivalent platform What Will Put You Ahead?Preferred Qualifications:MS or PhD in a technical field, preferably statistics, mathematics, computer science, or systems engineering3+ years of experience using a big data storage framework such as large scale partitioned relational databases, Hadoop, Hive, MongoDB or similar large scale data frameworks Experience with terabyte-class datasets and “big data” storage frameworks is a huge plus, as is a background in visualization, computer science, or relational databasesExperience with datamart-style dimensional databases Political/advocacy experience in activist or free market organizations and experience working with voter files Experience in risk management or fraud detection Consumer modeling and experience with commercial databasesWant to learn more about i360?Salary and benefits commensurate with experience.We are an equal opportunity employer. Minority/Female/Disabled/VeteranExcept where prohibited by state law, all offers of employment are conditioned upon successfully passing a drug test. This employer uses E-Verify. Please visit the following website for additional information: www.kochcareers.com/doc/Everify.pdfFollow us ","10000--1","Oil & Gas Exploration & Production"
"81","Schneider Electric",3.6,"$89k-$134k","Andover","MA"," Schneider Electric creates connected technologies that reshape industries, transform cities and enrich lives. Our 144,000 employees thrive in more than 100 countries. From the simplest of switches to complex operational systems, our technology, software and services improve the way our customers manage and automate their operations. Help us deliver solutions that ensure Life Is On everywhere, for everyone and at every moment: https://youtu.be/NlLMv1Y7Hk.  Great people make Schneider Electric a great company.  The Office of the CTO within the Information Technology Division of Schneider Electric is looking to hire an entry-level data scientist to work in a team building, testing, and deploying data-driven models for our products, systems, and services.  Our data science efforts are interdisciplinary incorporating understanding and methodology from engineering, computer science, statistics, operations research, machine learning, and artificial intelligence. You will design and validate models in Python and R utilizing data from Schneider Electric repositories and laboratories -- and external sources.  Additionally, you will work with and alongside engineering and services stakeholders to identify business opportunities, use cases, and new data sources. Communication and leadership skills will be critical as you will serve as a technical resource for data science for internal projects, external collaborations and partnerships.  This job might be for you if: Are expecting to graduate from a Computer Science, Engineering, Mathematics, Statistics, or related technical degree program at an accredited institution (undergraduate or master's degree expected)Technical programming project or work experience is a plus (particularly coding in R, Python, or MATLAB)Must be in good academic standingSelf-managed, disciplined and committed to working in a fast-paced environmentGood written and verbal communication skillsExcellent problem solving skillsStrong interpersonal skills and ability to work effectively in a team environment We seek out and reward people for being straightforward, open, passionate, effective and challenging the status quo. We want our employees to reflect the diversity of the communities in which we operate. We welcome people as they are, creating an inclusive culture where all forms of diversity are seen as a real value for the company. We're looking for people with a passion for success on the job and beyond. See what our people have to say about working for Schneider Electric: https://youtu.be/6D2Av1uUrzY.  Let us learn about you! Apply today.  You must submit an online application to be considered for any position with us. This position will be posted until filled.  It is the policy of Schneider Electric to provide equal employment and advancement opportunities in the areas of recruiting, hiring, training, transferring, and promoting all qualified individuals regardless of race, religion, color, gender, disability, national origin, ancestry, age, military status, sexual orientation, marital status, or any other legally protected characteristic or conduct.  Concerning agencies: Schneider Electric does not accept unsolicited resumes and will not be responsible for fees related to such.  Schneider Electric is an Equal Opportunity Employer Minorities/Women/Veterans/Disabled.","10000--1","Energy"
"82","PKW Associates, Inc",4,"$85k-$135k","Windsor Mill","MD"," We have an immediate need for a Data Scientist who will:-Perform as a highly skilled technology consultant and leader in the area of predictive analytics. -Serve as a consultant and thought leader for customers. -Utilize proven hands-on expertise with advanced SAS and R. -Execute data collection/extraction activities and evaluate fraud models. -Develop trigger sets. -Support anti-fraud counter-measure performance. -Refine models and re-baseline. -Develop and maintain data-driven model and operational and performance reports and dashboards. -Review programmatic environments. Identify post processing data collection services and available data. -Conduct research and special studies pertaining to fraud in customer's specialized programs and fraud operations. -Develop models to identify fraud. -Provide demonstrations of progress at critical stages. -Perform troubleshooting support and knowledge transfer as needed. -Utilize excellent research, analytical, written and oral communications. -Be comfortable as an individual contributor to team activities. The candidate must be able to pass a Federal Suitability Check for a position of public trust. Masters degree minimum (PhD preferred) from an accredited college in a related discipline, with eleven (11) years of professional experienceDemonstrated expertise related to data science and predictive analytics initiativesExperience building and deploying data-driven reports in SASExperience delivering complex technical documentation related to data science and predictive analytics initiativesExperience with Data analysis tools that include SAS, SQL and R for Statistical ComputingExcellent research, analytical, written and oral communicationsFor over 35 years, P.K.W. Associates, Inc. has met the needs of prominent companies and government agencies by providing IT services in the Maryland, DC and Virginia area. We provide stellar service, efficient solutions, understand the importance of communication and know what it takes to get the job done right! We work with our clients providing Contracting, Contract to Hire and Direct Hire personnel.P.K.W. Associates, Inc. is committed to providing equal opportunity to all employees and applicants for employment without regard to race, color, religion, gender, gender identity or expression, age, national origin, disability, veteran status, marital status, sexual orientation, creed, or any other applicable protected class status.","1-50",NA
"83","TextRecruit",4.9,"$101k-$154k","San Jose","CA","Company Description TextRecruit is a candidate and employee engagement platform that leverages text, chat and AI to optimize the hiring funnel. The system can easily integrate with existing Applicant Tracking Systems or can be used independently by recruiters.  TextRecruit partners with global leaders like Oracle, ADP, iCims, Careerbuilder and others to deliver it's best in class communication platforms to their users. With over 200 paid clients, logos include the US Marines, National Guard, Ford, Cheesecake Factory, CDW, VMware, Conway Trucking and more. TextRecruit is a profitable and ventured backed organization. Job Description Our leading communication platform is currently in need of a Data Scientist to join our fast-growing team. The ideal candidate will be intricately involved in running analytical experiments in a methodical manner, and will regularly evaluate alternate models via theoretical approaches. This is an opportunity to be a key player in shaping the data and predictable analytics side of the organization of the company by working on the largest dataset of job conversations in the world. Responsibilities Research and develop statistical learning models for data analysis Collaborate with product management and engineering departments to understand company needs and devise solutions Develop algorithms across the TextRecruit data set to analyze trends and build models Communicate results and ideas to key decision makers Implement new statistical or other mathematical methodologies as needed for specific models or analysis Optimize joint development efforts through appropriate database use and project designQualifications Masters Degree in Computer Science, Statistics, Applied Math or related field 7+ years practical experience with SAS, ETL, data processing, database programming and data analytics Extensive background in data mining and statistical analysis Able to understand various data structures and common methods in data transformation Excellent pattern recognition and predictive modeling skills Experience with programming languages such as Java Ph.D is not required but is a plus","1-50","Enterprise Software & Network Solutions"
